insert,read,update,delete
0.5763795375823975, 0.25565195083618164, 0.025983810424804688, 0.018721342086791992
0.5694372653961182, 0.2579333782196045, 0.026360511779785156, 0.02155756950378418
0.5796167850494385, 0.2495129108428955, 0.027225017547607422, 0.01949787139892578
0.5775389671325684, 0.25352048873901367, 0.027192115783691406, 0.019415855407714844
0.57480788230896, 0.2550356388092041, 0.0259552001953125, 0.018379688262939453
0.5761251449584961, 0.25526928901672363, 0.030379772186279297, 0.019443273544311523
0.5653777122497559, 0.2585635185241699, 0.028310298919677734, 0.01973581314086914
0.5746769905090332, 0.2505674362182617, 0.028168678283691406, 0.01950550079345703
0.5713286399841309, 0.2534027099609375, 0.0264742374420166, 0.020177125930786133
0.5730869770050049, 0.2538564205169678, 0.025501012802124023, 0.018370389938354492
