insert,read,update,delete
1.0038089752197266, 0.2925839424133301, 0.24320650100708008, 0.019625186920166016
1.0314419269561768, 0.27894043922424316, 0.24074602127075195, 0.018162012100219727
0.9688448905944824, 0.25897717475891113, 0.24146008491516113, 0.019639253616333008
0.9619929790496826, 0.28033947944641113, 0.255124568939209, 0.02006244659423828
1.1044228076934814, 0.3094475269317627, 0.2576572895050049, 0.02050185203552246
0.7688593864440918, 0.3078188896179199, 0.24091386795043945, 0.02023935317993164
1.0739755630493164, 0.2910609245300293, 0.24585556983947754, 0.018827199935913086
1.0536391735076904, 0.28705906867980957, 0.1082603931427002, 0.017737627029418945
1.0110986232757568, 0.27106165885925293, 0.23456645011901855, 0.017961502075195312
1.0456454753875732, 0.3103194236755371, 0.23595190048217773, 0.01906442642211914
